760831,5.8871,6.4194,6.7453,6.9715,7.1381,7.2655,7.365,7.4441,7.5077,7.5597
760930,5.7501,6.2145,6.5475,6.7985,6.9874,7.1307,7.2406,7.3264,7.3943,7.4491
761029,5.5158,5.9652,6.2895,6.5542,6.7723,6.9514,7.0975,7.217,7.3148,7.3955
761130,4.9526,5.3434,5.648,5.9139,6.1517,6.3644,6.5527,6.7183,6.8622,6.9872
761231,4.8879,5.3265,5.6687,5.9433,6.1617,6.335,6.4729,6.5834,6.6725,6.7455
770131,5.5895,6.1214,6.4622,6.7022,6.8736,6.9985,7.0917,7.1632,7.2192,7.2642
770228,5.4844,6.0552,6.4545,6.7218,6.9003,7.0241,7.1138,7.1816,7.2341,7.2762
770331,5.3469,5.9736,6.385,6.6541,6.8332,6.9576,7.0479,7.1161,7.1692,7.2116
770429,5.4922,6.0177,6.3912,6.6635,6.8579,6.9984,7.1024,7.1818,7.2437,7.2934
770531,5.6837,6.089,6.3922,6.6211,6.7883,6.9109,7.0023,7.0725,7.1273,7.1714
770630,5.5975,5.9528,6.2329,6.4543,6.6213,6.7464,6.8409,6.9139,6.9713,7.0174
770729,6.0729,6.3698,6.5988,6.7843,6.927,7.0351,7.1175,7.1814,7.2318,7.2723
770831,6.2074,6.4164,6.5963,6.7475,6.864,6.952,7.0188,7.0704,7.111,7.1436
770930,6.496,6.6518,6.7894,6.9065,6.9972,7.0659,7.118,7.1584,7.1902,7.2157
771031,6.7914,7.0032,7.1315,7.2135,7.2671,7.3039,7.3304,7.3504,7.3659,7.3783
771130,6.7387,6.9074,7.0396,7.1369,7.2053,7.254,7.2897,7.3168,7.3379,7.3548
771230,6.8569,7.0443,7.2124,7.3517,7.4573,7.536,7.5951,7.6406,7.6763,7.7049
780131,7.101,7.2642,7.4042,7.5243,7.6182,7.6897,7.7443,7.7866,7.8199,7.8468
780228,7.1391,7.3719,7.5235,7.6366,7.7192,7.7799,7.8253,7.8601,7.8873,7.9092
780331,7.2454,7.5098,7.623,7.7017,7.7683,7.8274,7.8797,7.9257,7.9657,8.0003
780428,7.3669,7.691,7.8052,7.8626,7.8969,7.9198,7.9361,7.9484,7.9579,7.9656
780531,7.7009,7.9603,8.0489,8.0933,8.1198,8.1375,8.1502,8.1597,8.167,8.1729
780630,8.1095,8.2747,8.3176,8.3384,8.3508,8.3591,8.365,8.3694,8.3729,8.3756
780731,8.0423,8.24,8.2664,8.2739,8.2778,8.2803,8.2821,8.2835,8.2845,8.2854
780831,8.142,8.2221,8.2095,8.1931,8.1814,8.1733,8.1674,8.1629,8.1595,8.1568
780929,8.5665,8.4216,8.3507,8.3142,8.2924,8.2779,8.2675,8.2597,8.2536,8.2488
781031,9.4551,9.1778,8.9789,8.8673,8.7995,8.7541,8.7217,8.6973,8.6784,8.6633
781130,9.6477,9.2609,8.9678,8.7953,8.6888,8.6173,8.5662,8.5278,8.498,8.4742
781229,10.1761,9.7561,9.3956,9.1771,9.041,8.9496,8.8841,8.8349,8.7967,8.7662
790131,9.7232,9.3033,9.0238,8.8653,8.7685,8.7037,8.6574,8.6226,8.5956,8.574
790228,9.8662,9.4857,9.234,9.092,9.0053,8.9473,8.9058,8.8747,8.8505,8.8311
790330,9.6998,9.345,9.1308,9.0107,8.9375,8.8885,8.8535,8.8271,8.8067,8.7904
790430,9.8139,9.4806,9.289,9.1844,9.121,9.0786,9.0484,9.0256,9.008,8.9939
790531,9.5232,9.1481,8.9792,8.8919,8.8396,8.8047,8.7798,8.761,8.7465,8.7348
790629,8.951,8.6976,8.6058,8.5598,8.5322,8.5139,8.5007,8.4909,8.4832,8.4771
790731,9.3541,9.0146,8.8738,8.8025,8.7598,8.7313,8.711,8.6957,8.6839,8.6744
790831,9.961,9.5069,9.256,9.1209,9.0394,8.985,8.9461,8.9169,8.8943,8.8761
790928,10.4042,9.8315,9.5248,9.3616,9.2633,9.1976,9.1508,9.1155,9.0882,9.0663
791031,12.4382,11.5592,11.0579,10.7849,10.6196,10.5092,10.4303,10.371,10.325,10.2882
