Name,US GDP (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CONA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CONA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CONA,US CHANGE IN PRIVATE INVENTORIES (NIA) (AR) CONA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CONA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CONA,US GDP (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - DURABLES (AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - NONDURABLES(AR) CURA,US PERSONAL CONSUMPTION EXPENDITURES - SERVICES (AR) CURA,US PRIVATE DOMESTIC FIXED INVESTMENT (AR) CURA,US CHANGE IN PRIVATE INVENTORIES (AR) CURA,US EXPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US IMPORTS OF GOODS & SERVICES (NIA) (AR) CURA,US GOVERNMENT CONSUMPTION & INVESTMENT (AR) CURA,US IMPLICIT PRICE DEFLATOR - GDP SADJ,US IPD - PERSONAL CONSUMPTION EXPENDITURES SADJ,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US PPI - FINISHED GOODS SADJ,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,"US CIVILIAN LABOR FORCE, (16 YRS & OVER) VOLA",US TOTAL CIVILIAN EMPLOYMENT VOLA,US CIVILIAN NONINSTITUTIONAL POPULATION - 16 YRS & OVER VOLN,US UNEMPLOYMENT RATE SADJ,US EMPLOYED - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US AVG WKLY HOURS - TOTAL PRIVATE NONFARM VOLA,US FEDERAL FUNDS RATE (AVG.),US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-3 MONTH,US TREASURY BILL SECONDARY MARKET RATE ON DISCOUNT BASIS-6 MONTH,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 1 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 5 YEAR,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 10YEAR,US STANDARD & POOR'S INDEX OF 500 COMMON STOCKS(MONTHLY AVE NADJ,US DOW JONES INDUSTRIALS SHARE PRICE INDEX (EP) NADJ,US NEW YORK STOCK EXCHANGE COMPOSITE SHARE PRICE INDEX,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US NET PRIVATE SAVING CURA,US NET GOVERNMENT SAVING CURA,US NONRESL. PRIVATE FIXED INVESTMENT - STRUCTURES (AR) CONA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CONA,US NONRESL. PRIVATE FIXED INVESTMENT - STRUCTURES (AR) CURA,US NONRESL.PRIVATE FIXED INVESTMENT-EQUIPMENT & SOFTWARE(AR),US RESIDENTIAL PRIVATE DOMESTIC INVESTMENT (AR) CURA,US NET WORTH - HOUSEHOLDS & NONPROFITS (FOF) CURN,US TOTAL ASSETS - HHOLDS & NONPROFITS CURN,US REAL ESTATE ASSETS - HOUSEHOLDS & NONPROFITS (FOF) CURN,US FINANCIAL LIABILITIES - HOUSEHOLDS & NONPROFITS(FOF) CURN,"US GDP IN REAL TERMS,POTENTIAL OUTPUT (AR) CONA",US RATIO OF POTENTIAL AND ACTUAL REAL GDP (AR) SADJ,US MONETARY BASE CURA,US MONEY SUPPLY M1 CURA,US MONEY SUPPLY M2 CURA
Q4 1980,5883.5,3802,,,,,-13.3,351.3,338.4,1349.4,2915.3,1836.6,236.2,591.3,1009.1,507,-9.1,292.5,299.2,587.5,49.551,48.305,85.567,83.933,91.3,56.8067,107442,99499,168694,7.4,90721,35.3,15.85,13.61,13.26,13.84,12.65,12.42,133.117,963.99,823.27,46.1,274.1,-51.9,,,,144.1,232.2,130.8,9555.418,11002.9,3413.99,1447.48,5964740,1.01381,141240,409.4,1593.5
Q1 1981,6005.7,3822.8,,,,,55.4,357.9,352.9,1367.3,3051.4,1892.4,246,614,1032.3,524.4,38.8,305.5,319.7,610.1,50.808,49.502,87.933,85.9,93.7,56.9353,108274,100239,169279,7.4,91110,35.3,16.57,14.39,13.65,14.12,13.2,12.96,131.52,1003.87,827.61,45,269.5,-30.9,,,,150,243,131.3,9728.047,11185.93,3459.68,1457.88,6010163,1.00074,142254,415,1620.7
Q2 1981,5957.8,3822.8,,,,,14.3,359.9,353.4,1370.4,3084.3,1924,240.9,622.8,1060.2,539.7,11.7,308.4,322,622.4,51.769,50.328,89.767,87.8,96.1,57.0739,108848,100801,169837,7.4,91348,35.3,17.78,14.91,14.28,15.13,14.19,13.75,132.813,976.88,805.19,45.067,272.3,-38.8,,,,161,249.8,128.9,9970.199,11465.72,3638.14,1495.52,6054848,1.01629,144502,425.8,1664.6
Q3 1981,6030.2,3838.3,,,,,57.9,352.2,349.4,1367.3,3177,1963.4,251.9,629.1,1082.4,548.8,44,302.3,309.9,628.4,52.685,51.153,92.267,90.767,96.9,57.6772,108525,100482,170413,7.4,91541,35.1,17.58,15.05,15.06,16.32,15.43,14.85,125.677,849.98,708.44,43.8,326.5,-47,,,,169.7,258.6,120.4,10020.19,11547.29,3744.25,1527.1,6100623,1.01168,146416,426.9,1694.1
Q4 1981,5955.1,3809.3,,,,,28.3,353.9,359.4,1379.9,3194.7,1978.2,236.8,635.7,1105.7,557.4,24.8,304.7,319.4,649,53.646,51.931,93.767,92.533,97.9,56.4091,109057,100077,170990,8.2,91139,35,13.59,11.75,12.21,13.55,14.13,14.09,122.17,875,751.9,42.8,339.4,-80.2,,,,188.5,259.3,109.6,10299.05,11858.75,3804.4,1559.7,6147752,1.03235,147944,432.1,1737.8
Q1 1982,5857.3,3833.9,,,,,-27.2,338.5,349.2,1378.5,3184.9,2016.2,246.4,639.9,1129.9,548,-21.5,293.2,309.5,658.5,54.375,52.588,94.6,93.667,98.8,55.2852,109374,99709,171497,8.8,90510,34.7,14.23,12.81,13.07,14.33,14.39,14.29,114.207,822.77,682.22,42.733,319.4,-104.5,,,,186.6,256.6,104.8,10390.2,11952.21,3904.13,1562.02,6193075,1.05733,150370,442.4,1777.1
Q2 1982,5889.1,3847.7,,,,,-5.4,340.6,343.4,1386.5,3240.9,2042.7,249.2,638.7,1154.7,535,-4.2,294.7,299.1,671.9,55.033,53.089,95.967,95.4,99.3,54.5607,110117,99745,172020,9.4,90030,34.8,14.51,12.42,12.55,13.8,14.06,13.93,114.12,811.93,666.36,43.033,341.2,-110.8,,,,182.5,249.6,102.9,10495.14,12081.51,3935.7,1586.37,6237241,1.05912,152778,447.1,1815.1
Q3 1982,5866.4,3877.2,,,,,6.8,325.5,359.4,1396,3274.4,2090.7,252.1,649.7,1188.9,522.9,5.8,279.6,309.3,684.7,55.816,53.923,97.633,97,100.5,53.7214,110526,99543,172522,9.9,89344,34.8,11.01,9.32,10.38,11.84,13.11,13.12,113.82,896.25,731.49,43.2,336.4,-149.8,,,,172.9,246.5,103.5,10730.72,12328.63,3949.22,1597.91,6278119,1.07018,155495,452.1,1848.2
Q4 1982,5871,3947.9,,,,,-52.8,310.6,345.3,1420.1,3312.5,2152.4,264.4,656.7,1231.3,522.8,-39.8,265.3,294.9,706.7,56.422,54.521,97.933,97.333,101.4,52.7482,110959,99120,173046,10.7,88807,34.6,9.29,7.91,8.26,9.13,10.47,10.67,136.71,1046.54,856.79,44.367,304.6,-184.7,,,,168.3,243,111.5,11043.26,12676.61,3990.42,1633.35,6317629,1.07607,158837,470.3,1890.1
Q1 1983,5944,3986.6,,,,,-47.7,315.6,353.2,1430.8,3381,2192.2,268.9,657,1266.3,531.7,-35.1,270.7,295.3,716.7,56.88,54.991,98,97.933,101,53.3774,110639,99143,173505,10.4,88987,34.7,8.65,8.11,8.18,8.86,10.12,10.56,147.65,1130.03,930.81,46.333,322,-183.8,,,,158.6,241.9,131.2,11404.11,13032.52,4040.23,1628.41,6354722,1.0691,163119,484,1993.3
Q2 1983,6077.6,4065.7,,,,,-6.7,316.5,380.3,1443,3482.2,2256.4,289.6,673,1293.7,549.9,-7.7,272.5,318,729.1,57.296,55.497,99.133,98.9,101.4,54.5663,111168,99945,173957,10.1,89663,34.9,8.8,8.4,8.47,9.18,10.23,10.54,162.733,1221.96,1029.99,48.233,311.5,-169.7,,,,149.5,253.4,147,11712.6,13394.63,4084.35,1682.03,6390495,1.05148,167928,499.1,2044.1
Q3 1983,6197.5,4137.6,,,,,-5.6,321.3,410,1468,3587.1,2326.5,302.4,688.4,1335.7,581.9,-4.2,278.2,343.4,748.1,57.88,56.229,100.1,100.133,101.9,56.4352,112095,101611,174449,9.4,90591,34.9,9.46,9.14,9.31,10.3,11.42,11.63,165.513,1233.13,1017.62,49.133,316.7,-179.2,,,,152.6,266.8,162.4,11833.72,13573.11,4130.707,1739.39,6429710,1.03747,171249,510.4,2076.2
Q4 1983,6325.6,4203.2,,,,,29.4,327.8,430.1,1443.2,3688.1,2379.2,319.3,696.5,1363.4,616.8,23.9,286.6,358,739.7,58.305,56.604,101.1,101.433,102.2,57.8985,112160,102588,174950,8.5,91855,35.1,9.43,8.8,8.98,9.95,11.41,11.69,165.747,1258.64,1006.41,50.1,340.5,-152.8,,,,156.6,289.3,170.8,11913.91,13714.23,4177.219,1800.32,6475277,1.02366,174552,519.2,2113.9
Q1 1984,6448.3,4239.2,,,,,88.7,334.6,464.6,1457.8,3807.4,2425.5,331.4,706.5,1387.6,636.7,73,293,388,767.2,59.045,57.216,102.533,102.833,103.4,59.6094,112512,103664,175679,7.9,93068,35.2,9.69,9.17,9.28,10.18,11.64,11.94,160.36,1164.89,969.29,51.267,393.3,-134.5,,,,165.7,294.3,176.6,12069.42,13893.96,4353.008,1824.54,6529283,1.01256,177869,528,2159.5
Q2 1984,6559.6,4299.9,,,,,83.1,343,484.1,1489.2,3906.3,2484.1,341.3,722.4,1420.5,665.8,69.3,302.2,406.5,791.4,59.551,57.772,103.5,104.1,103.8,60.5283,113521,105040,176125,7.4,94106,35.1,10.56,9.8,10.22,11.55,13.01,13.2,155.757,1132.4,934.51,51.433,417.8,-140.5,,,,175.8,308.6,181.4,12237.36,14123.78,4487.066,1886.42,6580776,1.00323,180872,537.3,2205.9
Q3 1984,6623.3,4333,,,,,86.9,350.5,496.6,1500.2,3976,2522.8,342.1,724.6,1456.1,682.1,71.3,305.7,409.6,803.6,60.029,58.222,104.4,105.4,103.9,60.941,113837,105363,176595,7.4,95037,35.1,11.39,10.32,10.53,11.81,12.83,12.87,160.537,1206.71,1017.09,51.433,448.4,-154.1,,,,182.5,318.2,181.4,12597.35,14540.24,4616.027,1942.89,6635470,1.00184,183802,541.7,2234.9
Q4 1984,6677.3,4390.1,,,,,54.4,357.6,511.2,1532.3,4034,2572,353.8,732.8,1485.3,696.3,48,308.6,416.4,825.5,60.413,58.585,105.3,106.467,103.9,61.0084,114257,105944,177132,7.3,95886,35,9.27,8.8,8.99,10.02,11.49,11.74,165.19,1211.57,1013.92,51.6,446.6,-161,,,,185.5,327.8,183,12868.39,14879.8,4734.527,2011.41,6694686,1.0026,186192,547.6,2284.5
Q1 1985,6740.3,4464.6,,,,,17.2,357.9,499.9,1549.9,4117.2,2643.4,368,742.4,1533,703.8,16.2,305.4,397.3,845.6,61.083,59.21,106.267,107.633,104.1,61.1593,114976,106615,177522,7.2,96551,34.9,8.48,8.18,8.43,9.39,11.19,11.58,177.303,1266.78,1106.01,52.667,388.5,-126,,,,194.9,325.6,183.3,13257.72,15340.98,4865.906,2083.26,6748871,1.00127,189345,562.4,2353.3
Q2 1985,6797.3,4505.2,,,,,25.1,356.6,524.5,1584.7,4175.7,2687.4,373.3,752.8,1561.4,713.7,21.6,303.1,418.6,868.4,61.431,59.651,107.233,108.767,104.7,61.2274,115177,106791,177946,7.3,97249,34.9,7.92,7.46,7.66,8.47,10.32,10.81,184.803,1335.46,1174.85,53.333,423.7,-177,,,,195.2,333.3,185.1,13579.7,15741.4,5016.707,2161.69,6806568,1.00136,192935,575.9,2395
Q3 1985,6903.5,4590.8,,,,,20.8,351.4,519.4,1625.8,4258.3,2755.9,396.5,760.5,1598.9,710.9,16.3,295.6,414.2,893.9,61.683,60.03,107.9,109.733,104.3,61.1232,115505,107186,178413,7.2,97823,34.8,7.9,7.11,7.26,7.99,9.77,10.34,188.303,1328.63,1112.25,54.233,365.8,-156.3,,,,192.2,329.9,188.8,13713.6,15969.15,5179.578,2255.55,6864353,0.99433,197755,596.2,2445.8
Q4 1985,6955.9,4600.9,,,,,38.6,362,539.8,1635.5,4318.7,2783.7,383.8,773.3,1626.6,729.1,33.1,304,438.9,907.7,62.087,60.505,109,111,105.5,61.4906,116211,108023,178941,7,98405,34.8,8.1,7.17,7.26,7.85,9.23,9.76,196.963,1546.67,1285.66,54.9,378.6,-165.7,,,,195.8,337.8,195.5,14364.66,16732.66,5340.797,2368.01,6924034,0.99542,202138,613.3,2481.8
Q1 1986,7022.8,4639.3,,,,,35.3,373.4,539.3,1653.2,4382.4,2827.2,391.6,779.3,1656.4,733.5,30.3,312,439.4,918.8,62.403,60.941,109.567,112.2,104.1,61.8461,116928,108735,179825,7,98812,34.9,7.83,6.9,6.95,7.46,8.16,8.56,219.963,1818.61,1455.9,55.667,375.9,-157.3,,,,191.7,335.5,206.3,14892.34,17284.47,5442.219,2392.13,6981768,0.99416,205488,626.7,2518.5
Q2 1986,7051,4688.7,,,,,17.2,377.5,562.2,1688.3,4423.2,2859.2,407.3,767.5,1684.4,737.3,15.7,314.2,444,940.9,62.732,60.98,109.033,113.133,102.7,61.4736,117643,109206,180321,7.2,99150,34.7,6.92,6.14,6.18,6.61,7.4,7.6,240.58,1892.72,1522.3,56.3,369.2,-185.5,,,,174.5,343,219.8,15248.52,17709.5,5575.527,2460.98,7038549,0.99823,210024,651.2,2585.1
Q3 1986,7119,4770.7,,,,,-9.5,386.1,577.8,1726.6,4491.3,2930.6,445.7,771,1713.9,739.5,-7,320.2,459.4,967.4,63.089,61.43,109.7,114.2,102.6,61.7169,118225,109970,180836,7,99639,34.6,6.21,5.52,5.59,5.99,6.93,7.31,241.15,1767.58,1410.96,56.7,328.7,-188.4,,,,169,344.4,226.1,15312.79,17861.44,5705.168,2548.66,7096656,0.99686,215147,678.8,2650.1
Q4 1986,7153.4,4799.4,,,,,-9.2,400.5,582.3,1716.6,4543.3,2969.9,441.1,779,1749.8,749.5,-12.7,335,468.6,970.2,63.513,61.881,110.467,115.3,103.5,62.4305,118587,110492,181365,6.8,100286,34.6,6.27,5.35,5.41,5.8,6.75,7.26,243.687,1895.95,1465.31,57.5,305,-164.3,,,,170.9,350.3,228.3,15851.68,18486.89,5827.859,2635.21,7154731,1.00019,220922,708.3,2709
Q1 1987,7193,4792.1,,,,,36.6,400.8,578.8,1723.7,4611.1,3004.8,418.5,797.4,1788.9,737,28,336.7,477.7,982.4,64.105,62.702,111.8,116.233,104.3,63.2787,119079,111206,182001,6.6,100893,34.8,6.22,5.54,5.54,5.92,6.74,7.19,279.303,2304.69,1754.08,58.2,349.3,-174.5,,,,166.9,339.9,230.1,16626.65,19266.21,5959.738,2639.56,7213854,1.0029,226332,731.6,2751.6
Q2 1987,7269.5,4856.3,,,,,20.1,416.7,593.2,1734.6,4686.7,3071.9,439.1,812.3,1820.5,751.1,16.5,355,502.3,994.6,64.471,63.256,113.067,117.633,105.3,64.3583,119663,112158,182527,6.3,101682,34.7,6.65,5.66,5.98,6.77,7.95,8.34,293.273,2418.53,1808.85,58.733,300.2,-107.9,,,,169.6,348.6,232.9,16910.08,19644.51,6094.688,2734.43,7271453,1.00027,230262,744.3,2775.1
Q3 1987,7332.6,4910.4,,,,,-0.7,434.6,604.8,1734.6,4764.5,3138.3,460.5,820.7,1857.1,768.5,1,371.6,517.3,1002.5,64.977,63.91,114.267,118.733,105.9,65.4953,120077,112867,183016,6,102408,34.8,6.84,6.04,6.18,7.13,8.42,8.88,319.37,2596.28,1905.81,59.567,346.3,-127.8,,,,177.6,356.7,234.2,17342.53,20153.27,6220.566,2810.73,7329373,0.99956,233403,745.2,2792.4
Q4 1987,7458,4922.2,,,,,76.8,450.7,618.7,1755.6,4883.1,3173,449.9,826.8,1896.2,774.7,63.1,391.8,537.5,1018.1,65.475,64.462,115.333,120.1,105.9,67.1032,120593,113527,183467,5.8,103361,34.7,6.92,5.86,6.41,7.24,8.63,9.12,255.377,1938.83,1461.61,59.633,398.3,-139.3,,,,182.7,354.5,237.5,16918.95,19762.25,6311.68,2843.3,7385205,0.99024,238582,753.2,2824.2
Q1 1988,7496.6,5004.4,,,,,17.9,475.7,615.8,1747.1,4948.6,3253.5,470.4,838.4,1944.7,780.6,17,418.4,542.7,1021.9,66.012,65.012,116.233,121.267,106.4,67.6928,121013,114093,183967,5.7,104121,34.6,6.66,5.72,6.03,6.78,7.91,8.42,258.116,1988.06,1550.11,60.133,399.3,-135.6,,,,178.6,367.6,234.4,17382.56,20265.16,6449.25,2882.6,7441440,0.99264,242793,758.6,2873.9
Q2 1988,7592.9,5040.8,,,,,22.9,488.8,608.7,1751.7,5059.3,3313,473.2,853.5,1986.3,800.7,19.7,438.9,546.1,1033,66.632,65.724,117.567,122.733,107.2,68.2921,121265,114623,184389,5.5,104973,34.6,7.16,6.21,6.49,7.3,8.42,8.91,263.136,2141.71,1633.32,60.867,416.4,-125.7,,,,184.2,378.2,238.4,17790.59,20758.53,6627.188,2967.95,7497599,0.98745,247451,772.7,2929.5
Q3 1988,7632.1,5080.6,,,,,20.7,497.9,623.1,1750.7,5142.8,3380.4,470.4,870.8,2039.2,807.5,18.2,452.7,552.8,1036.9,67.384,66.536,119,124.1,108.7,68.6486,121917,115233,184840,5.5,105708,34.6,7.98,7.01,7.27,8,8.76,9.1,266.917,2112.91,1623.81,61.067,412.8,-108.4,,,,183.5,384,240,18057.49,21104.54,6757.488,3047.05,7554172,0.98979,252141,782.8,2957.6
Q4 1988,7734,5140.4,,,,,26.2,513.1,642,1786.2,5251,3453.3,486.2,886.3,2080.8,823.5,19.1,465.6,574.3,1063.8,67.895,67.179,120.3,125.6,109.6,69.1473,122488,115947,185253,5.3,106565,34.6,8.47,7.73,7.86,8.53,8.8,8.96,274.976,2168.57,1652.25,61.4,418.2,-115,,,,184.9,394.2,244.4,18471.99,21615.91,6877.949,3143.92,7610565,0.98404,255717,785,2983.6
Q1 1989,7806.6,5159.3,,,,,54.4,528.2,645,1775.2,5360.3,3507.7,486.4,902.5,2118.7,835.9,48.2,484,586.2,1070.7,68.664,67.989,121.667,126.933,111.8,69.4176,123251,116835,185773,5.2,107369,34.6,9.44,8.54,8.59,9.29,9.31,9.21,290.71,2293.62,1751.33,61.233,415.9,-87.9,,,,189.5,401.8,244.6,18902.26,22084.78,7002.738,3182.52,7670455,0.98256,258461,784.2,3000
Q2 1989,7865,5182.4,,,,,41,551.2,648.1,1802.8,5453.6,3570,493.3,927.7,2148.9,842.1,36,505.8,595.4,1095,69.34,68.887,123.633,128.3,113.7,69.1227,123678,117205,186178,5.2,107874,34.5,9.73,8.41,8.33,8.93,8.83,8.77,313.303,2440.06,1881.07,60.6,383.6,-108.7,,,,189.6,412.3,240.2,19309.61,22578.98,7139.129,3269.37,7727455,0.98251,260310,775.9,3020.7
Q3 1989,7927.4,5236.1,,,,,10.8,557.2,647.2,1819.7,5532.9,3626.8,505.6,936.3,2184.8,860.4,10,508.2,584.4,1112.1,69.795,69.264,124.6,129.533,113.7,68.7083,124026,117494,186602,5.2,108144,34.5,9.08,7.84,7.7,8.1,8.03,8.11,341.957,2692.82,2050.99,60.367,375.2,-119.2,,,,197.7,424.2,238.4,19888.36,23240.81,7335.09,3352.45,7785757,0.98213,262942,779.4,3078.9
Q4 1989,7944.7,5261.7,,,,,16.3,566,658.9,1829.4,5581.7,3673.5,491.9,951.3,2230.3,850.6,16.6,514.5,598.2,1124.6,70.257,69.815,125.867,131.1,115,69.0191,124448,117774,187018,5.4,108653,34.4,8.61,7.65,7.51,7.83,7.84,7.91,345.396,2753.2,2062.3,60.367,371.2,-139.3,,,,198.1,417.8,234.8,20202.42,23637.78,7443.168,3435.36,7840405,0.98687,266096,789.1,3139.3
Q1 1990,8027.7,5303.3,,,,,15.1,590.7,679.8,1857.6,5708.1,3758.7,515.4,974.2,2269.2,866.1,13.9,537.6,626.8,1158.6,71.106,70.875,128.033,132.767,117.6,69.5434,125781,119114,188520,5.3,109386,34.4,8.25,7.76,7.7,8.13,8.38,8.42,336.297,2707.21,1975.7,60.4,384.5,-156,,,,204.1,422.7,239.2,20241.8,23739.18,7547.77,3497.38,7896262,0.98363,271257,798.4,3184.3
Q2 1990,8059.6,5320.8,,,,,37,598.7,678.7,1860.4,5797.4,3811.8,498.4,980.9,2332.6,848.8,33.7,546.4,614.8,1171.4,71.931,71.64,129.3,134.5,117.5,70.0321,125705,118995,188916,5.3,109756,34.3,8.24,7.75,7.74,8.27,8.65,8.68,349.606,2880.7,2066.95,60.133,422.2,-167.7,,,,204.6,413.3,230.9,20495.29,24066.11,7581.438,3570.81,7952331,0.98669,276982,806.5,3210.6
Q3 1990,8059.5,5341,,,,,24.9,603.1,675.9,1859.8,5850.6,3875.2,493.6,1003.1,2378.5,844.9,21.9,555.7,630.1,1183,72.593,72.555,131.533,136.5,119.3,70.2482,125871,118712,189353,5.7,109609,34.2,8.16,7.48,7.41,7.83,8.43,8.7,335.396,2452.48,1774.8,59.6,382.3,-167.6,,,,205.5,420.6,218.8,20124.36,23763.21,7630.797,3638.85,8009742,0.99383,284125,815.3,3245
Q4 1990,7988.9,5299.5,,,,,-10.8,608.2,657.8,1878.3,5846,3896,480.9,1018.8,2396.3,825.9,-11.3,568.8,647.3,1213.8,73.176,73.518,133.767,138.067,122.2,69.1573,126069,118361,189866,6.1,109208,34.2,7.74,6.99,6.96,7.3,8.03,8.4,317.053,2633.66,1908.45,58.467,397.6,-189.8,,,,197.4,421.5,207,20585.06,24288,7601.387,3702.94,8068851,1.01001,291195,822.2,3269.5
Q1 1991,7950.2,5284.4,,,,,-17.2,612.5,650.3,1885.9,5880.2,3909.7,471.7,1014.1,2423.9,803.4,-15.5,574.7,620.3,1228.1,73.963,73.987,134.767,140.067,121.9,67.8393,126071,117782,190272,6.6,108744,34.1,6.43,6.02,6.04,6.44,7.65,8.02,353.343,2913.86,2170.79,58.567,448.5,-164.1,,,,194.9,413.3,195.2,21248.9,24968.89,7621.648,3719.99,8121736,1.02158,300480,832.9,3309.7
Q2 1991,8003.8,5324.7,,,,,-21,634.6,661.9,1892.5,5962,3963.3,475.2,1021.8,2466.3,802.1,-18,592.3,613.9,1236.2,74.49,74.433,135.567,141.333,121.4,68.2716,126352,117729,190656,6.8,108268,34,5.86,5.56,5.69,6.24,7.78,8.13,378.653,2906.8,2151.44,59.767,446.3,-225.1,,,,189.9,411.5,200.7,21280,25068.93,7696.758,3788.93,8174705,1.02135,304243,849.6,3347.8
Q3 1991,8037.5,5345,,,,,-0.5,649.1,680.5,1883.5,6033.7,4008.7,484.3,1024.4,2500,804.4,0.8,602.2,621.7,1239.2,75.069,74.999,136.6,142.867,121.3,69.1879,126318,117660,191121,6.9,108258,34.1,5.64,5.38,5.45,5.89,7.49,7.94,385.61,3016.77,2255.8,60.9,436.8,-242.9,,,,177.5,416.6,210.3,21550.64,25387.06,7701.93,3836.42,8229900,1.02394,309075,866.1,3360
Q4 1991,8069,5342.6,,,,,33,663.9,695.5,1875.6,6092.5,4038.6,477.5,1020.7,2540.4,803.2,31.1,617.1,638.3,1240.8,75.505,75.592,137.733,144.2,122.2,69.3408,126669,117679,191651,7.1,108267,34.1,4.82,4.54,4.58,4.87,6.56,7.35,387.103,3168.8,2426.04,61,473.1,-264.8,,,,172.2,416.9,214.2,22142.33,26059.02,7735.117,3916.69,8286697,1.02698,315055,887.5,3370.7
Q1 1992,8157.6,5434.5,,,,,2.7,675.7,700.6,1889.9,6190.7,4140.1,496.2,1037.7,2606.3,810,0.2,627.3,645.8,1258.8,75.889,76.183,138.667,145.467,122.2,69.2576,127357,117958,192075,7.4,108285,34.1,4.02,3.89,3.99,4.36,6.59,7.3,412,3235.5,2360.59,62,501.9,-296.5,,,,169.9,415.7,224.4,22180.1,26113.1,7807.898,3933,8341360,1.02253,322197,924.1,3399.5
Q2 1992,8244.3,5466.7,,,,,23.9,675.8,712.1,1887.6,6295.2,4193.5,501,1047.2,2645.3,842.2,23.2,627.9,659,1267.3,76.358,76.71,139.733,146.733,122.9,70.473,128140,118407,192507,7.6,108558,34.2,3.77,3.68,3.8,4.22,6.65,7.38,410.163,3318.5,2372,63.167,519.7,-302.6,,,,170.6,436.5,235.1,22196.95,26176.09,7841.488,3979.14,8398462,1.0187,328554,949.5,3401.7
Q3 1992,8329.4,5527.1,,,,,21.1,690.4,723.3,1897.3,6389.7,4267.7,512.1,1061.1,2694.5,856.3,20.5,641.4,677.9,1281.7,76.713,77.213,140.8,147.867,123.5,70.9844,128559,118753,193024,7.6,108817,34.2,3.26,3.08,3.15,3.42,5.61,6.62,417.153,3271.7,2426.25,63.733,480.2,-317.9,,,,173,446,237.3,22458.7,26504.67,7903.289,4045.97,8458273,1.01547,336980,975,3405.9
Q4 1992,8417,5594.6,,,,,23.8,694,740.6,1897.9,6493.6,4346.2,523.1,1074.8,2748.4,885.3,21.4,643.2,688.5,1286,77.149,77.687,142.033,149.2,124.2,71.6867,128340,118834,193616,7.4,109228,34.2,3.04,3.07,3.25,3.56,5.91,6.74,423.66,3301.12,2539.92,65.167,465.5,-298.5,,,,176.7,460,248.6,23090.14,27211.88,7962.816,4121.73,8521805,1.01245,347693,1014.8,3430.2
Q1 1993,8432.5,5617.2,,,,,40.3,695.5,756.7,1877.9,6544.5,4384.9,527.9,1079.1,2777.9,895.4,35.9,645,699.3,1282.6,77.61,78.062,143.067,150.5,124.7,72.3185,128485,119297,194106,7.1,109869,34.2,3.04,2.96,3.09,3.41,5.48,6.28,442.363,3435.11,2637.3,66.1,498,-322.3,,,,173.7,469.1,252.6,23438.27,27567.64,7970.906,4129.37,8581725,1.0177,355658,1034.1,3420.8
Q2 1993,8486.4,5671.1,,,,,26.8,704.1,772.3,1876.5,6622.7,4452.1,547.8,1086.3,2817.9,918.2,24.1,654.3,716.3,1290.3,78.039,78.505,144.1,151.767,125.5,72.4835,129086,119960,194555,7.1,110459,34.3,3,2.97,3.08,3.38,5.18,5.99,445.463,3516.08,2633.92,66.633,470.6,-278.9,,,,175.1,485.2,257.9,23641.98,27842.74,8050.367,4200.75,8641741,1.0183,364575,1062.9,3435.7
Q3 1993,8531.1,5732.7,,,,,6.3,701.8,782.5,1874.6,6688.3,4516.3,556.6,1092.5,2867.1,936.8,6.6,651.4,719.3,1296.6,78.399,78.781,144.767,152.667,124.4,72.8671,129428,120626,195068,6.8,111146,34.4,3.06,3,3.12,3.42,4.95,5.62,453.553,3555.12,2698.73,67.3,446.2,-285.8,,,,177.5,490,269.3,24007.11,28300.32,8130.809,4293.21,8704764,1.02036,374765,1094.3,3452.4
